iter	RMSE
0	1.221227258
1	1.194664173
2	1.168024747
3	1.142688351
4	1.119083129
5	1.096155028
6	1.073031007
7	1.051326178
8	1.029709361
9	1.009453953
10	0.9898318452
11	0.9714005835
12	0.9542886652
13	0.9372069745
14	0.9212157908
15	0.905596772
16	0.8908408182
17	0.8758415547
18	0.8607282101
19	0.8464944511
20	0.8333272637
21	0.81977748
22	0.8070313734
23	0.7945920331
24	0.7829537821
25	0.7724294327
26	0.761491284
27	0.7514160922
28	0.7416914295
29	0.7321908021
30	0.7233088225
31	0.7144728505
32	0.7060074245
33	0.6981202085
34	0.6900298898
35	0.6825056523
36	0.6754907654
37	0.6686371027
38	0.6625851847
39	0.656423125
40	0.6505221085
41	0.6450441427
42	0.6400146556
43	0.6350163372
44	0.6304506901
45	0.6260659678
46	0.6214747539
47	0.6174335603
48	0.6133354197
49	0.6093245055
50	0.6053883482
51	0.6015850009
52	0.5983322803
53	0.5948591349
54	0.591755843
55	0.5886707501
56	0.5860895871
57	0.5834400879
58	0.5808147095
59	0.578211789
60	0.5758222125
61	0.5735885326
62	0.5713834347
63	0.5694651101
64	0.5676946894
65	0.565820755
66	0.5644235684
67	0.5628124826
68	0.5609509021
69	0.5591325798
70	0.5574432608
71	0.5558580978
72	0.554472791
73	0.5529783274
74	0.5515632554
75	0.5501874256
76	0.5489273097
77	0.5478995462
78	0.546765446
79	0.545607339
80	0.5445454325
81	0.5437221257
82	0.5428624201
83	0.5422892122
84	0.5412858554
85	0.5405777928
86	0.5397072205
87	0.538805519
88	0.5381549536
89	0.5373501614
90	0.5363813537
91	0.5355409172
92	0.5347385872
93	0.5340310872
94	0.5335050798
95	0.532900448
96	0.5321535218
97	0.5315495096
98	0.5311173741
99	0.5305968977
100	0.5299956329
101	0.5295054382
102	0.5288775092
103	0.5283460528
104	0.5278571641
105	0.5273005948
106	0.5268595226
107	0.5264593087
108	0.5260628062
109	0.5255793617
110	0.5250890912
111	0.5245725421
112	0.5241974879
113	0.5238372282
114	0.5235243685
115	0.5231224057
116	0.5227834881
117	0.5225042285
118	0.5222769412
119	0.5218210821
120	0.5212738284
121	0.521054547
122	0.520827387
123	0.5204675295
124	0.5201185454
125	0.5197484019
126	0.5195327965
127	0.5190252633
128	0.5187227976
129	0.5184856795
130	0.5182257968
131	0.5176486402
132	0.5174324673
133	0.5171879817
134	0.5169419502
135	0.5165608774
136	0.5163656599
137	0.5159629899
138	0.5157165228
139	0.5154821399
140	0.5150946113
141	0.5148789301
142	0.5146833229
143	0.514391348
144	0.5140324876
145	0.5138885014
146	0.5137448744
147	0.5136563824
148	0.5133332684
149	0.5131731293
150	0.5129272406
151	0.5128228799
152	0.5126360845
153	0.5125259624
154	0.5124240534
155	0.5122636052
156	0.5121101162
157	0.5118477671
158	0.5117279844
159	0.5114762337
160	0.5112418688
161	0.511085593
162	0.5108453003
163	0.5106544461
164	0.5103760864
165	0.5101630971
166	0.5100152643
167	0.5098560983
168	0.5095424187
169	0.5092511014
170	0.509050678
171	0.5087788451
172	0.5086681914
173	0.5084046367
174	0.5083188718
175	0.5082255763
176	0.508065121
177	0.5079443858
178	0.507776887
179	0.5075933035
180	0.5073261272
181	0.5070180615
182	0.5068217341
183	0.5067189493
184	0.506483285
185	0.5063861225
186	0.5062252535
187	0.5059495633
188	0.5057241921
189	0.5056317749
190	0.5053486968
191	0.5052309836
192	0.5050077279
193	0.5048412877
194	0.5046427468
195	0.5042707965
196	0.5040458007
197	0.5038525917
198	0.5038142284
199	0.5037266175
200	0.5036531485
201	0.5034071696
202	0.5031348482
203	0.5028169666
204	0.5027055725
205	0.5025687411
206	0.502396555
207	0.5022480347
208	0.5020913683
209	0.50200019
210	0.5019046855
211	0.5017810478
212	0.5016758912
213	0.5016263274
214	0.501429454
215	0.5010989736
216	0.5010191252
217	0.500951775
218	0.5008565282
219	0.5006498119
220	0.500525047
221	0.5001855995
222	0.5001412516
223	0.5000210596
224	0.4998530247
225	0.4996592012
226	0.4995237095
227	0.4993740256
228	0.4992270737
229	0.4990040673
230	0.4987960472
231	0.4985103186
232	0.4983732834
233	0.4983454186
234	0.4982972472
235	0.4981489071
236	0.4981221956
237	0.4979606729
238	0.4978323013
239	0.4975942557
240	0.4975108995
241	0.4973358356
242	0.4972638567
243	0.4969337903
244	0.4967532178
245	0.4966253801
246	0.4964948755
247	0.4964217413
248	0.4963617213
249	0.4963141476
250	0.4961682537
251	0.4960722379
252	0.4959594887
253	0.4958813868
254	0.495843904
255	0.4957409637
256	0.4956109633
257	0.4954941518
258	0.495408035
259	0.4953117863
260	0.4951536843
261	0.4950253949
262	0.4949444498
263	0.4948879887
264	0.4948130486
265	0.4946502646
266	0.4945904623
267	0.4944351522
268	0.4943170204
269	0.4941810652
270	0.4940875441
271	0.4939527307
272	0.4938808772
273	0.4937686534
274	0.4936986554
275	0.4936399875
276	0.4934536459
277	0.4934025741
278	0.493304199
279	0.493213476
280	0.4931385607
281	0.4929902399
282	0.4929015248
283	0.4926907983
284	0.492603272
285	0.4924951188
286	0.4924356387
287	0.4923750899
288	0.4923035995
289	0.4921677486
290	0.4921197102
291	0.4918802946
292	0.491684645
293	0.491543866
294	0.4913756435
295	0.4912712733
296	0.491202611
297	0.4910452149
298	0.4909327392
299	0.4907938124
300	0.4906674203
301	0.4905807409
302	0.4904424191
303	0.4902873429
304	0.4901970044
305	0.4901253509
306	0.4900548516
307	0.4900211298
308	0.4899298176
309	0.4898539172
310	0.4897674182
311	0.489573329
312	0.4895053176
313	0.4892947825
314	0.4891960718
315	0.4890440465
316	0.4888305901
317	0.4887125427
318	0.4886727114
319	0.4885258303
320	0.4884617463
321	0.4884420322
322	0.4884010935
323	0.488374047
324	0.4882596854
325	0.4881917103
326	0.488149093
327	0.4880208381
328	0.4879542773
329	0.4877765219
330	0.4877477067
331	0.4875862399
332	0.4875270722
333	0.4874315123
334	0.4872546332
335	0.4870919922
336	0.4869843354
337	0.4868082074
338	0.4866571012
339	0.486528625
340	0.4863489464
341	0.486261174
342	0.4862328579
343	0.4861197699
344	0.4861050579
345	0.4859169448
346	0.485908566
347	0.4857443946
348	0.4856956772
349	0.4855274806
350	0.4854571661
351	0.4853696477
352	0.4852583074
353	0.4850567489
354	0.4848678534
355	0.4848495365
356	0.4847861494
357	0.4845782396
358	0.4844229065
359	0.4843184121
360	0.4842025702
361	0.4841386658
362	0.4841285435
363	0.4839784346
364	0.4838074122
365	0.4837323054
366	0.4836556639
367	0.4835449769
368	0.4834735247
369	0.4833452116
370	0.4832538799
371	0.483155474
372	0.4830653149
373	0.4828993922
