iter	Passed	Remaining
0	3	2589
1	5	2380
2	8	2250
3	11	2191
4	13	2147
5	16	2140
6	18	2124
7	21	2105
8	23	2099
9	26	2108
10	29	2112
11	32	2117
12	35	2123
13	38	2152
14	41	2184
15	45	2212
16	48	2235
17	51	2252
18	54	2245
19	57	2234
20	59	2223
21	62	2205
22	64	2193
23	67	2180
24	69	2166
25	72	2154
26	74	2142
27	77	2135
28	79	2124
29	82	2109
30	84	2099
31	87	2088
32	89	2077
33	91	2072
34	94	2062
35	96	2050
36	99	2045
37	101	2040
38	104	2036
39	106	2028
40	109	2021
41	111	2015
42	113	2005
43	116	2000
44	118	1996
45	121	1990
46	123	1984
47	126	1977
48	128	1969
49	131	1965
50	133	1958
51	135	1953
52	138	1949
53	140	1944
54	143	1937
55	145	1933
56	147	1929
57	150	1923
58	152	1920
59	155	1916
60	157	1912
61	160	1911
62	162	1906
63	165	1901
64	167	1894
65	169	1888
66	172	1882
67	174	1879
68	176	1873
69	179	1870
70	181	1865
71	183	1859
72	186	1855
73	188	1852
74	191	1849
75	193	1844
76	195	1839
77	198	1835
78	201	1834
79	203	1832
80	205	1827
81	208	1822
82	210	1818
83	212	1815
84	215	1811
85	217	1808
86	220	1805
87	222	1801
88	224	1797
89	227	1792
90	229	1789
91	232	1786
92	234	1783
93	236	1779
94	239	1775
95	241	1772
96	244	1769
97	246	1766
98	248	1762
99	251	1758
100	253	1755
101	255	1751
102	258	1749
103	260	1745
104	263	1743
105	265	1740
106	268	1737
107	270	1733
108	273	1732
109	275	1730
110	278	1726
111	280	1723
112	282	1719
113	285	1716
114	287	1713
115	290	1710
116	292	1707
117	295	1705
118	297	1702
119	299	1699
120	302	1695
121	304	1692
122	306	1688
123	309	1686
124	311	1683
125	314	1680
126	316	1678
127	319	1675
128	321	1672
129	323	1669
130	326	1667
131	329	1665
132	331	1662
133	334	1661
134	336	1658
135	339	1655
136	341	1653
137	344	1650
138	346	1647
139	348	1644
140	351	1641
141	353	1638
142	355	1634
143	358	1631
144	360	1629
145	362	1625
146	365	1622
147	367	1618
148	369	1615
149	372	1612
150	374	1609
151	376	1607
152	379	1604
153	381	1600
154	383	1597
155	386	1594
156	388	1591
157	391	1589
158	393	1586
159	396	1584
160	398	1581
161	400	1578
162	403	1576
163	405	1573
164	408	1571
165	410	1568
166	412	1565
167	415	1562
168	417	1559
169	420	1556
170	422	1553
171	424	1550
172	427	1547
173	429	1544
174	431	1541
175	434	1539
176	436	1536
177	438	1532
178	440	1529
179	443	1527
180	445	1524
181	448	1522
182	450	1520
183	453	1517
184	455	1515
185	458	1512
186	460	1510
187	463	1507
188	465	1504
189	467	1501
190	470	1499
191	472	1496
192	475	1494
193	477	1491
194	479	1488
195	482	1486
196	485	1485
197	488	1483
198	490	1481
199	493	1479
200	495	1477
201	498	1474
202	500	1472
203	502	1468
204	505	1465
205	507	1462
206	509	1460
207	512	1457
208	514	1454
209	516	1451
210	518	1448
211	521	1445
212	523	1442
213	525	1439
214	528	1436
215	530	1434
216	532	1431
217	535	1428
218	537	1425
219	540	1423
220	542	1420
221	544	1418
222	546	1414
223	549	1411
224	551	1409
225	553	1406
226	556	1404
227	558	1401
228	561	1398
229	563	1396
230	565	1393
231	568	1391
232	570	1388
233	572	1385
234	574	1382
235	577	1379
236	579	1376
237	581	1373
238	583	1370
239	586	1368
240	588	1365
241	591	1362
242	593	1360
243	595	1357
244	598	1355
245	600	1353
246	603	1350
247	605	1347
248	607	1345
249	610	1342
250	612	1339
251	614	1337
252	617	1334
253	619	1331
254	621	1328
255	624	1326
256	626	1323
257	628	1320
258	630	1317
259	633	1314
260	635	1311
261	637	1309
262	639	1306
263	642	1304
264	644	1301
265	647	1299
266	649	1295
267	651	1293
268	653	1290
269	655	1287
270	658	1284
271	660	1281
272	662	1279
273	664	1276
274	667	1273
275	669	1270
276	671	1268
277	674	1265
278	676	1263
279	678	1260
280	681	1258
281	683	1255
282	685	1253
283	688	1250
284	690	1248
285	693	1245
286	695	1243
287	697	1240
288	700	1237
289	702	1235
290	704	1232
291	707	1231
292	710	1228
293	712	1226
294	714	1223
295	717	1221
296	719	1218
297	722	1216
298	724	1213
299	726	1211
300	728	1208
301	731	1205
302	733	1202
303	735	1200
304	738	1197
305	740	1195
306	742	1193
307	745	1190
308	747	1188
309	750	1185
310	752	1182
311	754	1179
312	756	1177
313	759	1175
314	761	1172
315	764	1170
316	766	1168
317	768	1165
318	771	1163
319	774	1161
320	776	1158
321	778	1156
322	781	1153
323	783	1151
324	786	1148
325	788	1146
326	790	1143
327	792	1140
328	795	1138
329	797	1135
330	800	1133
331	802	1131
332	804	1128
333	807	1126
334	809	1123
335	811	1121
336	814	1118
337	816	1116
338	819	1113
339	821	1111
340	823	1108
341	826	1106
342	828	1103
343	830	1101
344	833	1098
345	835	1096
346	837	1093
347	840	1091
348	842	1088
349	844	1086
350	847	1083
351	849	1080
352	851	1078
353	854	1076
354	856	1073
355	858	1070
356	861	1068
357	863	1066
358	865	1063
359	867	1060
360	870	1058
361	872	1055
362	874	1052
363	876	1050
364	879	1047
365	881	1044
366	883	1042
367	885	1040
368	888	1037
369	890	1034
370	892	1032
371	894	1029
372	897	1027
373	899	1024
374	901	1022
375	904	1019
376	906	1017
377	908	1014
378	911	1012
379	913	1009
380	915	1007
381	918	1004
382	920	1002
383	923	1000
384	925	997
385	927	995
386	930	992
387	932	990
388	934	987
389	937	985
390	939	982
391	941	980
392	944	977
393	946	975
394	948	972
395	951	970
396	953	968
397	956	965
398	958	963
399	960	960
400	962	957
401	965	955
402	967	953
403	970	951
404	972	948
405	975	946
406	977	943
407	979	941
408	982	939
409	984	936
410	986	934
411	989	931
412	991	929
413	993	926
414	996	924
415	998	921
416	1000	919
417	1003	916
418	1005	914
419	1007	911
420	1009	909
421	1012	906
422	1014	903
423	1016	901
424	1018	898
425	1020	896
426	1023	893
427	1025	891
428	1027	888
429	1030	886
430	1032	884
431	1034	881
432	1037	878
433	1038	876
434	1040	873
435	1043	871
436	1045	868
437	1047	865
438	1049	863
439	1051	860
440	1053	857
441	1056	855
442	1058	852
443	1060	850
444	1062	847
445	1064	845
446	1066	842
447	1069	839
448	1071	837
449	1073	834
450	1075	832
451	1077	829
452	1079	826
453	1081	824
454	1084	822
455	1086	819
456	1088	817
457	1090	814
458	1092	811
459	1094	809
460	1096	806
461	1099	804
462	1101	801
463	1103	799
464	1105	796
465	1107	793
466	1109	791
467	1111	788
468	1114	786
469	1116	783
470	1118	781
471	1120	778
472	1122	775
473	1124	773
474	1126	770
475	1128	768
476	1131	766
477	1133	763
478	1136	761
479	1138	758
480	1140	756
481	1142	753
482	1144	751
483	1147	748
484	1149	746
485	1151	743
486	1153	741
487	1155	738
488	1157	736
489	1159	733
490	1161	731
491	1164	728
492	1166	726
493	1168	723
494	1170	721
495	1172	718
496	1174	716
497	1177	713
498	1179	711
499	1181	708
500	1183	706
501	1185	704
502	1187	701
503	1190	698
504	1192	696
505	1194	693
506	1196	691
507	1198	688
508	1200	686
509	1202	683
510	1204	681
511	1206	678
512	1209	676
513	1211	673
514	1213	671
515	1215	668
516	1217	666
517	1219	664
518	1221	661
519	1224	659
520	1226	656
521	1228	654
522	1230	651
523	1232	649
524	1235	647
525	1237	644
526	1239	641
527	1241	639
528	1243	636
529	1245	634
530	1247	632
531	1249	629
532	1251	626
533	1253	624
534	1255	622
535	1258	619
536	1259	617
537	1262	614
538	1264	612
539	1266	609
540	1268	607
541	1270	604
542	1272	602
